Code;Libellé;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2021;Part des employés dans le nb d’emplois au LT 2021;Part des ouvriers dans le nb d’emplois au LT 2021;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2021
1396;Sault-Brénaz;6.9;21.8;42.7;10.5
1397;Sauverny;27.8;30.4;18.9;7.3
1398;Savigneux;1.5;11;35.8;18.1
1399;Ségny;6.9;48.6;13.3;8.8
1400;Seillonnaz;0;0;47.7;0
1401;Sergy;34.4;19.3;3.7;11.2
1402;Sermoyer;0;6.3;13.5;26.5
1403;Serrières-de-Briord;13.6;25.6;9.3;25.8
1404;Serrières-sur-Ain;0;0;0;0
1405;Servas;9;17.4;38.8;5.6
1406;Servignat;0;31.2;34.4;0
1407;Seyssel;6.6;32.1;12.2;22.4
1408;Simandre-sur-Suran;2.6;22.8;42.6;10.2
1410;Sonthonnax-la-Montagne;0;25.4;0;23.6
1411;Souclin;13.6;62.3;0;0
1412;Sulignat;16.9;12.5;18.2;22.3
1415;Talissieu;3.7;42.7;0;0
1416;Tenay;13.8;32.6;23.8;2.6
1418;Thil;16;25.4;33.1;5.5
1419;Thoiry;7.6;41.4;13.7;5.8
1420;Thoissey;15.9;36.4;12.5;7.4
1421;Torcieu;4;10;58.7;6.7
1422;Tossiat;6.2;19.5;38.3;7.4
1423;Toussieux;4.9;28.8;17.9;29.6
1424;Tramoyes;13.7;20.9;14.9;18.6
1425;La Tranclière;29.8;9.7;0;39.3
1426;Val-Revermont;5.1;13.2;38.2;8.8
1427;Trévoux;19;21.9;25.4;5.4
1428;Valeins;0;0;0;100
1429;Vandeins;0;15.7;27.9;14.1
1430;Varambon;13.4;21.9;35.6;29.1
1431;Vaux-en-Bugey;12.2;13.8;42.8;8.8
1432;Verjon;0;13.8;3.6;24.7
1433;Vernoux;5.5;5.5;77.9;0
1434;Versailleux;4.7;33.4;24.2;19.6
1435;Versonnex;13.3;25.9;11.2;14.3
1436;Vesancy;21;56.7;0;0
1437;Vescours;0;0;0;0
1439;Vésines;0;0;20.2;0
1441;Vieu-d'Izenave;7.9;18.3;39.6;16.3
1443;Villars-les-Dombes;13.6;26.6;29.6;5.9
1444;Villebois;8.2;36.3;21.8;21.3
1445;Villemotier;0;42.1;10.4;9.9
1446;Villeneuve;5.8;14.3;12.1;25.2
1447;Villereversure;2.3;24;29.1;9.8
1448;Villes;14.7;22.9;21.9;22.9
1449;Villette-sur-Ain;5.6;4.6;22.8;17.2
1450;Villieu-Loyes-Mollon;10.2;25.2;21.7;15.5
1451;Viriat;10.4;28.3;29.6;4.7
1452;Virieu-le-Grand;3.7;16.6;38;14.5
1453;Arvière-en-Valromey;11.7;34.9;17.9;3.5
1454;Virignin;6.1;17.7;21.5;14.5
1456;Vongnes;0;39.7;19.8;0
1457;Vonnas;9.3;20.9;30.7;9.9
2001;Abbécourt;18.3;7.6;58.9;0
2002;Achery;10.2;19.9;21.9;19.8
2003;Acy;14.1;25.7;35.3;2.5
2004;Agnicourt-et-Séchelles;0;50;0;0
2005;Aguilcourt;19.8;0;20.7;40.5
2006;Aisonville-et-Bernoville;0;42.9;28.8;14.1
2007;Aizelles;0;0;0;0
2008;Aizy-Jouy;0;24.7;25.4;11.6
2009;Alaincourt;0;38;12.6;0
2010;Allemant;0;43.6;0;21.8
2011;Ambleny;4.4;23;28.9;21.6
2012;Ambrief;0;0;0;100
2013;Amifontaine;0;26.6;36.9;14.4
2014;Amigny-Rouy;0;14.2;50.6;21.2
2015;Ancienville;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
2016;Andelain;0;28.7;43;0
2017;Anguilcourt-le-Sart;0;0;19.3;40.3
2018;Anizy-le-Grand;13.1;27.6;26.8;7.6
2019;Annois;0;13.8;42;14.1
2020;Any-Martin-Rieux;0;21.6;22.7;28.9
2021;Archon;0;0;0;50
2022;Arcy-Sainte-Restitue;0;26.4;24.9;25.2
2023;Armentières-sur-Ourcq;0;0;0;0
2024;Arrancy;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
2025;Artemps;0;0;40.4;20.7
2027;Assis-sur-Serre;0;17.7;29.4;0
2028;Athies-sous-Laon;10.8;16.4;49.4;4.7
2029;Attilly;0;20.8;59.8;0
2030;Aubencheul-aux-Bois;0;24.1;34.2;11.4
2031;Aubenton;0;43.8;24.8;6.2
