GEO;GEO_OBJECT;OCS;L_STAY;TDW;TOH;CARS;RP_MEASURE;CARPARK;NOR;TSH;BUILD_END;TIME_PERIOD;OBS_VALUE
2B049;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1988.54
2B290;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;392.532
2B063;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;77.9123
2A024;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;436.806
2B277;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;279.066
2B291;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;57
2B311;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;721.2
2A253;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;72.7273
2A026;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;165.697
2B292;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;115.744
2A027;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;112.838
2A254;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;623.47
2B293;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;228.866
2A040;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;487.141
2B313;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;2117.25
2B314;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;372.033
2B080;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;221.436
2A028;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;187.586
2B067;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;59.7677
2A041;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;3247.72
2B315;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;205.284
2B068;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;51.5926
2B081;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;56.9302
2B101;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;98.0644
2B082;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;64.85528
2B102;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;74
2B069;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;73.8276
2A270;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;289.194
2B316;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;871.239
2B296;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;150.807
2A258;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;212.119
2A271;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1691.16
2B317;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;101.511
2B083;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;134.472
2B297;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;62.2542
2B318;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;501.839
2B084;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;274.246
2A272;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;2984.95
2B298;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;2279.55
2A259;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;103.126
2B332;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;264.684
2B105;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;119.383
2B319;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;630.189
2B299;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;123
2A060;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;76.0891
2B333;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;141.853
2B086;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;345.702
2B106;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;20
2B087;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1937.32
2B120;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;2688.24
2B334;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;117.14
2B107;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;367.218
2A048;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1048.66
2A061;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;168.076
2B335;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;273.573
2B088;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;211.52
2A276;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1091.08
2B121;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;563.977
2A062;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;265.224
2A310;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;73.8862
2B109;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;257.284
