C21_ACTOCC1564_CS2;C21_ACTOCC1564_CS3;C21_ACTOCC1564_CS5;C21_ACTOCC1564_CS6;AAV2020
827.502;1125.01;3252.59;5080.37;227
842.136;1044.77;3470;4722.19;228
630.761;749.549;3269.48;5322.07;229
1028.7;1226.22;3542.26;3312.48;230
1547.01;2004.42;3602.75;2724.08;231
641.285;835.219;3220.49;3906.51;232
1884.85;1053.2;3473.32;2609.29;233
911.347;1463.34;3479.25;3499.58;234
891.289;1172.95;3825.99;2235.37;235
753.981;1381.98;3719.81;3364.11;236
963.331;1338.68;3473.2;4110.34;237
1683.1;1383.01;3953.33;2356.35;238
994.242;1270.03;3117.52;2832.23;239
952.882;1319.13;3342.63;3475.37;240
894.234;967.324;3315.42;3514.18;241
604.407;969.621;3216.48;3482.48;242
746.713;1797.68;3625.63;3627.04;243
874.927;1281.3;3109.31;4229.7;244
1179.62;1126.76;2980.61;2421.27;245
674.999;625.483;2777.28;4831.32;246
965.058;1248.12;3431.49;2505.31;247
810.076;896.48;2617.81;3709.23;248
1369.63;2138.84;4101.99;3334.16;249
571.603;954.227;3587.05;3697.74;250
1070.19;1536.15;3567.54;1854.68;251
702.659;941.683;2964.54;3741.52;252
911.89;1158.13;3094.56;2891.51;253
827.823;939.307;3049;2648.07;254
970.417;1134.81;3100.92;3747.05;255
321.459;747.65;3204.55;3031.05;256
750.88;1128.35;2981.36;2720.68;257
754.073;891.177;3148.15;4927.63;258
712.643;891.655;2924.75;3262.29;259
714.046;972.377;2826.16;3476.66;260
1199.75;1847.46;3492.28;2471.75;261
718.539;843;2825.49;2774.17;262
573.463;829.756;2709.31;2878.02;263
531.585;723.593;2945.77;2978.21;264
944.044;1136.23;3160.71;2657.64;265
1106.74;1185.67;3309.21;2161.62;266
779.41;1326.16;3134.98;2253.66;267
820.956;1230.63;3820.45;2348.48;268
535.727;754.393;2748.41;2962.48;269
537.293;848.279;2743.83;3568.57;270
935.764;1048.62;2508.52;2769.32;271
669.1;1030.06;3019.47;2766.14;272
434.152;969.899;2801.26;2515.12;273
578.303;1245.69;2805.22;2630.01;274
1255.59;845.415;2443.92;1766.98;275
624.538;743.314;2838.52;3091.89;276
552.534;725.112;2469.88;2762.83;277
761.81;1352.1;3369.42;2009.61;278
786.528;749.939;2690.44;2411.65;279
457.555;748.526;2418.78;3165.23;280
852.591;1345.67;2868.35;1662.82;281
843.754;827.244;2903.88;2090.39;282
378.935;571.801;2662.59;2739.6;283
940.441;844.391;2729.11;1692.57;284
821.706;995.558;2918;2677.13;285
738.897;1128.22;2634.64;2910.17;286
403.793;565.632;2074.02;2411.45;287
648.299;906.847;2567.71;2887.96;288
595.753;725.716;2975.64;2924.82;289
1135.07;1093.43;3053.9;1669.28;290
585.355;979.159;2595.32;2671.76;291
887.432;834.613;2201.78;1932.69;292
492.27;727.007;2257.72;3008.24;293
706.604;837.796;2552.89;2014.21;294
724.185;1102.61;2566.16;2454.97;295
628.115;1064.89;2427.16;2237.3;296
561.737;637.831;2409.96;2750.09;297
1572.35;773.426;2959.1;1943.72;298
601.206;1183.25;2552.8;2490.27;299
572.383;647.094;2575.67;2164.76;300
1029.19;1033.79;3029.33;2195.67;301
1434.83;1305.95;2255.18;1176.65;302
329.745;771.76;2379.78;2375.85;303
1031.62;1363.18;2316.72;1659.65;304
623.316;582.951;2076.53;2530.26;305
882.987;1138.63;2228.02;1469.58;306
629.027;736.485;2310.23;2547.77;307
310.277;398.018;2122.61;2446.2;308
472.268;722.128;2587.74;2153.74;309
645.033;953.751;2275.46;1908.68;310
663.497;563.906;2346.68;2324.76;311
666.81;609.911;2762.76;1504.29;312
514.058;966.224;2333.65;4303.11;313
850.153;560.145;2285.51;1328.76;314
